"ADDRESS","LATITUDE","LONGTITUDE","address"
"1 UPPER ALJUNIED LANE DBS UPPER ALJUNIED ROAD SINGAPORE 360001","1.33429242274696","103.878791059137","360001"
"141 UPPER PAYA LEBAR ROAD SINGAPORE 534846","1.33889387687709","103.886114854069","534846"
"91 UPPER PAYA LEBAR ROAD SINGAPORE 534821","1.33748492906751","103.887004163685","534821"
"387 UPPER ALJUNIED ROAD SINGAPORE 367872","1.33312324236673","103.878841894011","367872"
"306 UBI AVENUE 1 OCBC UBI AVENUE 1 - GIANT SINGAPORE 400306","1.32987219527898","103.901929737149","400306"
"266 SERANGOON CENTRAL DRIVE SINGAPORE 550266","1.35323198383248","103.871472595608","550266"
"253 SERANGOON CENTRAL DRIVE OCBC SERANGGON CENTRAL DRIVE - FAIRPRICE SINGAPORE 550253","1.35368269478836","103.870913317584","550253"
"23 SERANGOON CENTRAL OCBC NEX - FAIRPRICE SINGAPORE 556083","1.35043818092716","103.87170454695","556083"
"23 SERANGOON CENTRAL OCBC NEX - FAIRPRICE SINGAPORE 556083","1.35043818092716","103.87170454695","556083"
"41 JALAN TIGA OCBC JALAN TIGA - FAIRPRICE SINGAPORE 390041","1.30780796198663","103.884767622977","390041"
"342 TANJONG KATONG ROAD SINGAPORE 437112","1.30373387351391","103.89649832916","437112"
"313 TANJONG KATONG ROAD SINGAPORE 437096","1.30608655778768","103.896150403005","437096"
"114 ALJUNIED AVENUE 2 OCBC ALJUNIED AVE 2 - FAIRPRICE SINGAPORE 380114","1.32172455192598","103.886807110468","380114"
"118 ALJUNIED AVENUE 2 SINGAPORE 380118","1.32000040187831","103.887363064677","380118"
"18B CIRCUIT ROAD MACPHERSON RESIDENCY SINGAPORE 372018","1.32918105126141","103.888248441219","372018"
"77 CIRCUIT ROAD OCBC CIRCUIT ROAD - FAIRPRICE SINGAPORE 370077","1.32855656206109","103.885349899665","370077"
"2 FIRST STREET UOB SIGLAP V SINGAPORE 458278","1.31275329709404","103.923657863473","458278"
"934 EAST COAST ROAD OCBC EAST COAST ROAD - FAIRPRICE SINGAPORE 459125","1.31230752184183","103.925234530164","459125"
"15 SIGLAP ROAD MANDARIN GARDENS SINGAPORE 448912","1.30706075671037","103.9237697621","448912"
"1 FIGARO STREET OPERA ESTATE SINGAPORE 458322","1.31574937142261","103.925857001244","458322"
"30 EAST COAST ROAD VILLAGE HOTEL KATONG SINGAPORE 428751","1.30377937020921","103.90291224848","428751"
"80 MARINE PARADE ROAD OCBC PARKWAY PARADE SINGAPORE 449269","1.30115259939855","103.905281816778","449269"
"80 MARINE PARADE ROAD OCBC PARKWAY PARADE SINGAPORE 449269","1.30115259939855","103.905281816778","449269"
"112 EAST COAST ROAD UOB I12 KATONG AUTOLOBBY SINGAPORE 428802","1.30522306203042","103.905043928938","428802"
"6 MARINE PARADE CENTRAL OCBC MARINE PARADE CENTRAL - FAIRPRICE SINGAPORE 449411","1.30133746499887","103.907177215042","449411"
"112 EAST COAST ROAD UOB I12 KATONG AUTOLOBBY SINGAPORE 428802","1.30522306203042","103.905043928938","428802"
"80 MARINE PARADE ROAD OCBC PARKWAY PARADE SINGAPORE 449269","1.30115259939855","103.905281816778","449269"
