"address","LATITUDE","LONGTITUDE","amenitiestype"
127,103.810545004407,1.27884500650228,"parks"
128,103.801481185309,1.27863065273452,"parks"
129,103.851334997301,1.28424399735648,"parks"
130,103.846577998059,1.28663900368187,"parks"
131,103.88330098901,1.30573400841613,"parks"
132,103.887303997701,1.30157198694066,"parks"
133,103.884275005667,1.34045302254281,"parks"
134,103.84777500427,1.29897100091601,"parks"
135,103.859533002821,1.30730499713228,"parks"
136,103.841238007513,1.30009699401837,"parks"
137,103.813893992211,1.31267000887848,"parks"
138,103.769163007842,1.33692401719002,"parks"
139,103.939423995901,1.31878498855893,"parks"
140,103.914736987314,1.32736399042993,"parks"
141,103.953982005401,1.32442800353246,"parks"
142,103.972156990988,1.36284801405719,"parks"
143,103.915657988943,1.32899598345262,"parks"
144,103.914285987588,1.31536500670409,"parks"
