"ADDRESS","LATITUDE","LONGTITUDE","address","amenitiestype"
"129 WHITLEY ROAD CATHOLIC JUNIOR COLLEGE SINGAPORE 297822",1.32455605783219,103.835028842353,"CATHOLIC JUNIOR COLLEGE","school"
"1 CEDAR AVENUE CEDAR GIRLS' SECONDARY SCHOOL SINGAPORE 349692",1.33375800216334,103.873933064886,"CEDAR GIRLS' SECONDARY SCHOOL","school"
"15 CEDAR AVENUE CEDAR PRIMARY SCHOOL SINGAPORE 349700",1.3355885014312,103.87562104944,"CEDAR PRIMARY SCHOOL","school"
"23 SIMEI STREET 3 CHANGKAT CHANGI SECONDARY SCHOOL SINGAPORE 529894",1.33950630072876,103.953245525564,"CHANGKAT CHANGI SECONDARY SCHOOL","school"
"11 SIMEI STREET 3 CHANGKAT PRIMARY SCHOOL SINGAPORE 529896",1.34023163951633,103.952080114035,"CHANGKAT PRIMARY SCHOOL","school"
"17 MARTIA ROAD CHIJ (KATONG) PRIMARY SINGAPORE 424821",1.30648535277087,103.911105620496,"CHIJ (KATONG) PRIMARY","school"
"1 BUKIT TERESA ROAD CHIJ (KELLOCK) SINGAPORE 099757",1.275022722964,103.828157564896,"CHIJ (KELLOCK)","school"
"346 MARINE TERRACE CHIJ KATONG CONVENT SINGAPORE 449150",1.30644268034894,103.917144350028,"CHIJ KATONG CONVENT","school"
"2C BURGHLEY DRIVE CHIJ OUR LADY OF GOOD COUNSEL SINGAPORE 558979",1.35742952269615,103.864009397373,"CHIJ OUR LADY OF GOOD COUNSEL","school"
"1257 UPPER SERANGOON ROAD CHIJ OUR LADY OF THE NATIVITY SINGAPORE 534793",1.37330297140128,103.897575728303,"CHIJ OUR LADY OF THE NATIVITY","school"
"4 CHESTNUT DRIVE CHIJ OUR LADY QUEEN OF PEACE SINGAPORE 679287",1.366603668561,103.767412204602,"CHIJ OUR LADY QUEEN OF PEACE","school"
"628 LORONG 1 TOA PAYOH CHIJ PRIMARY (TOA PAYOH) SINGAPORE 319765",1.33275264711587,103.841847263786,"CHIJ PRIMARY (TOA PAYOH)","school"
"626 LORONG 1 TOA PAYOH CHIJ SECONDARY (TOA PAYOH) SINGAPORE 319764",1.33246079948303,103.843271625083,"CHIJ SECONDARY (TOA PAYOH)","school"
"170 YISHUN AVENUE 6 CHONGFU SCHOOL SINGAPORE 768959",1.43839562897006,103.839309173817,"CHONGFU SCHOOL","school"
"1 TAMPINES STREET 21 CHONGZHENG PRIMARY SCHOOL SINGAPORE 529392",1.35070739237744,103.951399541868,"CHONGZHENG PRIMARY SCHOOL","school"
"20 WOODLANDS DRIVE 17 CHRIST CHURCH SECONDARY SCHOOL SINGAPORE 737924",1.42656780901455,103.793451105242,"CHRIST CHURCH SECONDARY SCHOOL","school"
"20 CHOA CHU KANG AVENUE 2 CHUA CHU KANG PRIMARY SCHOOL SINGAPORE 689905",1.37775890093367,103.741832917421,"CHUA CHU KANG PRIMARY SCHOOL","school"
"3 TECK WHYE CRESCENT CHUA CHU KANG SECONDARY SCHOOL SINGAPORE 688845",1.38319029263484,103.751878290333,"CHUA CHU KANG SECONDARY SCHOOL","school"
"50 GOODMAN ROAD CHUNG CHENG HIGH SCHOOL (MAIN) SINGAPORE 439012",1.30509154753048,103.891653229373,"CHUNG CHENG HIGH SCHOOL (MAIN)","school"
"11 YISHUN STREET 61 CHUNG CHENG HIGH SCHOOL (YISHUN) SINGAPORE 768547",1.41922603586175,103.837390782849,"CHUNG CHENG HIGH SCHOOL (YISHUN)","school"
"8 CLEMENTI AVENUE 3 CLEMENTI PRIMARY SCHOOL SINGAPORE 129903",1.31506321827875,103.763144493687,"CLEMENTI PRIMARY SCHOOL","school"
"10 CLEMENTI AVENUE 3 CLEMENTI TOWN SECONDARY SCHOOL SINGAPORE 129904",1.31553912945073,103.762020598524,"CLEMENTI TOWN SECONDARY SCHOOL","school"
"698 WEST COAST ROAD COMMONWEALTH SECONDARY SCHOOL SINGAPORE 608784",1.31920395934801,103.745637393049,"COMMONWEALTH SECONDARY SCHOOL","school"
