"ADDRESS","LATITUDE","LONGTITUDE","address","amenitiestype"
"50 EAST COAST ROAD ROXY SQUARE SINGAPORE 428769",1.30432599904899,103.904051120306,"Roxy Square","shopping mall"
"112 EAST COAST ROAD UOB I12 KATONG AUTOLOBBY SINGAPORE 428802",1.30522306203042,103.905043928938,"i12 Katong","shopping mall"
"80 MARINE PARADE ROAD PARKWAY PARADE SINGAPORE 449269",1.30106975506311,103.905279491524,"Parkway Parade","shopping mall"
"1 PASIR RIS CENTRAL STREET 3 WHITE SANDS SINGAPORE 518457",1.37244981663527,103.949715694737,"White Sands","shopping mall"
"810 GEYLANG ROAD CITY PLAZA SINGAPORE 409286",1.3147868971977,103.893472115119,"City Plaza","shopping mall"
"86 EAST COAST ROAD KATONG SQUARE SINGAPORE 428788",1.30513510179213,103.904307160288,"Katong Square","shopping mall"
"30 EAST COAST ROAD KATONG V SINGAPORE 428751",1.30385030375719,103.902850370889,"Katong V","shopping mall"
"1 STADIUM PLACE KALLANG WAVE MALL SINGAPORE 397628",1.30307515150401,103.873149707591,"Kallang Wave Mall","shopping mall"
"5 STADIUM WALK LEISURE PARK KALLANG SINGAPORE 397693",1.30230108405227,103.876473975883,"Leisure Park Kallang","shopping mall"
"623 ELIAS ROAD ELIAS MALL SINGAPORE 510623",1.37782876616465,103.942364336974,"Elias Mall","shopping mall"
"258 PASIR RIS STREET 21 LOYANG POINT SINGAPORE 510258",1.36707357525622,103.964632225014,"Loyang Point","shopping mall"
"78 AIRPORT BOULEVARD JEWEL CHANGI AIRPORT SINGAPORE 819666",1.3603410066102,103.98907755021,"Jewel Changi Airport","shopping mall"
"888 WOODLANDS DRIVE 50 888 PLAZA SINGAPORE 730888",1.43712301500434,103.795314383823,"888 Plaza","shopping mall"
"ADMIRALTY PLACE",1.4398809549057,103.801791019595,"Admiralty Place","shopping mall"
"53 ANG MO KIO AVENUE 3 AMK HUB SINGAPORE 569933",1.36938922690344,103.84847796594,"AMK Hub","shopping mall"
"133 CANBERRA VIEW CANBERRA PLAZA SINGAPORE 750133",1.44349544527985,103.830345369213,"Canberra Plaza","shopping mall"
"1 WOODLANDS SQUARE CAUSEWAY POINT SINGAPORE 738099",1.4360700650803,103.785981524253,"Causeway Point","shopping mall"
"900 SOUTH WOODLANDS DRIVE WOODLANDS CIVIC CENTRE SINGAPORE 730900",1.43501829566013,103.786930895956,"Woodlands Civic Centre","shopping mall"
"4190 ANG MO KIO AVENUE 6 BROADWAY PLAZA SINGAPORE 569841",1.37193729131781,103.845949444498,"Broadway Plaza","shopping mall"
"445 BEDOK NORTH STREET 1 DJITSUN MALL BEDOK SINGAPORE 469661",1.32611970329469,103.929554495615,"Djitsun Mall","shopping mall"
"61 ANG MO KIO AVENUE 8 JUBILEE SQUARE SINGAPORE 569814",1.37178558575829,103.847837565378,"Jubilee Square","shopping mall"
"18 YISHUN AVENUE 9 DBS JUNCTION NINE SINGAPORE 768897",1.43306021695327,103.841649364872,"Junction 9","shopping mall"
"4 WOODLANDS STREET 12 MARSILING MALL HAWKER CENTRE SINGAPORE 738623",1.43354318137534,103.77988189197,"Marsiling Mall","shopping mall"
"930 YISHUN AVENUE 2 NORTHPOINT CITY SINGAPORE 769098",1.42969848626288,103.835776491468,"Northpoint City","shopping mall"
"604 SEMBAWANG ROAD SEMBAWANG SHOPPING CENTRE SINGAPORE 758459",1.44182470675733,103.824845207237,"Sembawang Shopping Centre","shopping mall"
"30 SEMBAWANG DRIVE SUN PLAZA SINGAPORE 757713",1.44819535371132,103.819502127155,"Sun Plaza","shopping mall"
"548 WOODLANDS DRIVE 44 VISTA POINT SINGAPORE 730548",1.43089714603015,103.793927429476,"Vista Point","shopping mall"
"598 YISHUN RING ROAD WISTERIA MALL SINGAPORE 768698",1.41795288501536,103.841268831617,"Wisteria Mall","shopping mall"
"768 WOODLANDS AVENUE 6 WOODLANDS MART SINGAPORE 730768",1.44562290720221,103.798140993891,"Woodlands Mart","shopping mall"
"883 WOODLANDS STREET 82 WOODLANDS NORTH PLAZA SINGAPORE 730883",1.44275333260237,103.790548015512,"Woodlands North Plaza","shopping mall"
"83 PUNGGOL CENTRAL WATERWAY POINT SINGAPORE 828761",1.40648462132006,103.902105680785,"Waterway Point","shopping mall"
"1 SENGKANG SQUARE COMPASS ONE SINGAPORE 545078",1.39205314156706,103.89507054384,"Compass One","shopping mall"
"90 HOUGANG AVENUE 10 HOUGANG MALL SINGAPORE 538766",1.37249493810003,103.893775562605,"Hougang Mall","shopping mall"
"205 HOUGANG STREET 21 HEARTLAND MALL-KOVAN SINGAPORE 530205",1.35954177325561,103.885167372726,"Heartland Mall","shopping mall"
"23 SERANGOON CENTRAL NEX SINGAPORE 556083",1.35076935257845,103.872296143862,"NEX","shopping mall"
"1 SELETAR ROAD GREENWICH V SINGAPORE 807011",1.38739539397015,103.869135978173,"Greenwich V","shopping mall"
"1 HOUGANG STREET 91 HOUGANG 1 SINGAPORE 538692",1.37571530699875,103.879472337592,"Hougang 1","shopping mall"
"21 HOUGANG STREET 51 HOUGANG GREEN SHOPPING MALL SINGAPORE 538719",1.3792452907016,103.887832017102,"Hougang Green Shopping Mall","shopping mall"
"1 MAJU AVENUE MYVILLAGE AT SERANGOON GARDEN SINGAPORE 556679",1.36511490600171,103.86515950117,"myVillage At Serangoon Garden","shopping mall"
"681 PUNGGOL DRIVE OASIS TERRACES SINGAPORE 820681",1.40278015725693,103.913215101343,"Oasis Terraces","shopping mall"
"168 PUNGGOL FIELD PUNGGOL PLAZA SINGAPORE 820168",1.39423719717117,103.913047323223,"Punggol Plaza","shopping mall"
"11 RIVERVALE CRESCENT RIVERVALE MALL SINGAPORE 545082",1.39219777838449,103.904471600025,"Rivervale Mall","shopping mall"
"118 RIVERVALE DRIVE RIVERVALE PLAZA SINGAPORE 540118",1.38533736107771,103.901841044122,"Rivervale Plaza","shopping mall"
"33 SENGKANG WEST AVENUE THE SELETAR MALL SINGAPORE 797653",1.39147015374628,103.876125507257,"The Seletar Mall","shopping mall"
"BUANGKOK SQUARE",1.3840286792222,103.882006815341,"Buangkok Square","shopping mall"
"1187 UPPER SERANGOON ROAD THE MIDTOWN SINGAPORE 533971",1.37050445523679,103.895291518188,"The Midtown","shopping mall"
"756 UPPER SERANGOON ROAD UPPER SERANGOON SHOPPING CENTRE SINGAPORE 534626",1.35348082277147,103.878828134896,"Upper Serangoon Shopping Centre","shopping mall"
"144 UPPER BUKIT TIMAH ROAD BEAUTY WORLD CENTRE SINGAPORE 588177",1.34241264188642,103.776539385406,"Beauty World Centre","shopping mall"
"140 UPPER BUKIT TIMAH ROAD BEAUTY WORLD PLAZA SINGAPORE 588176",1.34180018619223,103.776259359854,"Beauty World Plaza","shopping mall"
"1 JELEBU ROAD BUKIT PANJANG PLAZA SINGAPORE 677743",1.37992045176243,103.764357180314,"Bukit Panjang Plaza","shopping mall"
"1 JALAN ANAK BUKIT BUKIT TIMAH PLAZA SINGAPORE 588996",1.33875930729064,103.778600077834,"Bukit Timah Plaza","shopping mall"
"445 FAJAR ROAD FAJAR SHOPPING CENTRE SINGAPORE 670445",1.38358044570629,103.770768305101,"Fajar Shopping Centre","shopping mall"
"524A JELAPANG ROAD GREENRIDGE SHOPPING CENTRE SINGAPORE 671524",1.38540569283271,103.766228468185,"Greenridge Shopping Centre","shopping mall"
"17 PETIR ROAD HILLION MALL SINGAPORE 678278",1.37843100827586,103.762842789877,"Hillion Mall","shopping mall"
"4 HILLVIEW RISE HILLV2 SINGAPORE 667979",1.36267450828024,103.76417292006,"HillV2","shopping mall"
"1 WOODLANDS ROAD JUNCTION 10 SINGAPORE 677899",1.38033681049385,103.760167883439,"Junction 10","shopping mall"
"253 CHOA CHU KANG AVENUE 1 KEAT HONG SHOPPING CENTRE SINGAPORE 680253",1.37736607441394,103.744393648768,"Keat Hong Shopping Centre","shopping mall"
"532 CHOA CHU KANG STREET 51 LIMBANG SHOPPING CENTRE SINGAPORE 680532",1.39222023419996,103.743611414728,"Limbang Shopping Centre","shopping mall"
